text,text_normalized,category
السلام عليكم، اتمنى تكونون بخير. للاسف طلبت منكم سماعه بلوتوث ووصلتني اليوم، لكن لما فتحت الكرتون لقيت السماعه نفسها فيها شرخ بسيط في الجهه اليمنى، وكمان علبة الشحن مكسوره من الزاويه. حبيت ابلغكم لاني والله محتاجها للدوام، ومو عارف شسوي. ما ودي ازعجكم بس حبيت اوضح الوضع. شكرا لتفهمكم.,السلام عليكم، اتمني تكونون بخير. للاسف طلبت منكم سماعه بلوتوث ووصلتني اليوم، لكن لما فتحت الكرتون لقيت السماعه نفسها فيها شرخ بسيط في الجهه اليمني، وكمان علبه الشحن مكسوره من الزاويه. حبيت ابلغكم لاني والله محتاجها للدوام، ومو عارف شسوي. ما ودي ازعجكم بس حبيت اوضح الوضع. شكرا لتفهمكم.,complaint
السلام عليكم، ابغى اسال عن لابتوب ديل اللي عندكم، مواصفاته ايش بالضبط؟ وهل ينفع للدراسه والشغل مع بعض؟ وكم الـ price تقريبا اذا ممكن,السلام عليكم، ابغي اسال عن لابتوب ديل اللي عندكم، مواصفاته ايش بالضبط؟ وهل ينفع للدراسه والشغل مع بعض؟ وكم الـ price تقريبا اذا ممكن,other
اخي الكريم انا طلبت شنطة ظهر من عندكم ودفعت المبلغ كامل. قالوا لي راح توصل خلال خمسه ايام. الحين صار لي ثلاث اسابيع انتظر ولا احد كلف نفسه يعطيني خبر. اتصلت مرات ومرات ولا حياه لمن تنادي. انا رجل كبير وما اقدر اتابع كل شوي. هذا تأخير غير مبرر وحرام اللي تسوونه.,اخي الكريم انا طلبت شنطه ظهر من عندكم ودفعت المبلغ كامل. قالوا لي راح توصل خلال خمسه ايام. الحين صار لي ثلاث اسابيع انتظر ولا احد كلف نفسه يعطيني خبر. اتصلت مرات ومرات ولا حياه لمن تنادي. انا رجل كبير وما اقدر اتابع كل شوي. هذا تاخير غير مبرر وحرام اللي تسوونه.,complaint
السلام عليكم ورحمه الله وبركاته، كيف حالك اخوي ان شاء الله بخير. اول شي احب اشكركم على تعاملكم الراقي مع العملاء وهذا الي خلاني ارجع لكم مره ثانيه. عندي ستفسار بسيط لو تكرمت، انا ناوي اشتري جوال سامسونج من عندكم بس متردد بين موديلين، وابغى اعرف منكم اي واحد افضل من ناحيه البطاريه والكاميرا لان استخدامي كله تصوير وواتساب. واذا ممكن تفهموني الفرق بينهم بالراحه لاني ما افهم كثير بالتقنيه، واكون شاكر لكم والله يجزاكم خير,السلام عليكم ورحمه الله وبركاته، كيف حالك اخوي ان شاء الله بخير. اول شي احب اشكركم علي تعاملكم الراقي مع العملاء وهذا الي خلاني ارجع لكم مره ثانيه. عندي ستفسار بسيط لو تكرمت، انا ناوي اشتري جوال سامسونج من عندكم بس متردد بين موديلين، وابغي اعرف منكم اي واحد افضل من ناحيه البطاريه والكاميرا لان استخدامي كله تصوير وواتساب. واذا ممكن تفهموني الفرق بينهم بالراحه لاني ما افهم كثير بالتقنيه، واكون شاكر لكم والله يجزاكم خير,other
اخوي ممكن مساعده؟ ابي ارجع المنتج اللي طلبته امس، ماقنعتني الجوده بصراحه ومافيها عيب منكم والله، بس انا توقعت شي ثاني من الوصف. اتمنى تقبلون الارجاع وترجعون المبلغ، واذا فيه رسوم ارجاع خصموها عادي ماعندي مشكله. اسف عالاطاله وشكرا.,اخوي ممكن مساعده؟ ابي ارجع المنتج اللي طلبته امس، ماقنعتني الجوده بصراحه ومافيها عيب منكم والله، بس انا توقعت شي ثاني من الوصف. اتمني تقبلون الارجاع وترجعون المبلغ، واذا فيه رسوم ارجاع خصموها عادي ماعندي مشكله. اسف عالاطاله وشكرا.,return_request
الشاحن السريع وصلني مكسور!!! من جدكم انتو؟ فلوسي راحت ع الفاضي,الشاحن السريع وصلني مكسور! من جدكم انتو؟ فلوسي راحت ع الفاضي,complaint
مساء الخير 🌙 ممكن تشوفون لي طلبي متى يوصل؟؟ صار له فتره ومحتاج الطقم ضروري 😩,مساء الخير 🌙 ممكن تشوفون لي طلبي متي يوصل؟؟ صار له فتره ومحتاج الطقم ضروري 😩,order_inquiry
ياخي المكواه البخار هذي سيئه بشكل مو طبيعي، تحرق الثياب وتنقط ماي عالملابس البيضه. جربتها مرتين وبعدها رميتها بالكبيت. حبيت بس اقولكم لاتتعبون نفسكم عليها,ياخي المكواه البخار هذي سيئه بشكل مو طبيعي، تحرق الثياب وتنقط ماي عالملابس البيضه. جربتها مرتين وبعدها رميتها بالكبيت. حبيت بس اقولكم لاتتعبون نفسكم عليها,complaint
صباح الخير جميعا. ابغى احكي لكم عن تجربتي مع خدمة العملاء عندكم لان صراحه تعبت. راسلتكم اربع مرات ع الواتس وكل مره يرد واحد غير الثاني ولا احد يعرف عن الثاني شي، وكلهم يقولون بنتابع وبنرد عليك ومحد رجع لي. اخر مره انتظرت على الخط ساعه كامله وانا اسمع اغنية الانتظار لين طفشت وسكرت. انا انسان هادي وما احب اعصب بس الموضوع صار مضايق، وانا حاب اكمل معاكم لان واثق في منتجاتكم مثل اللابتوبات والاجهزه، بس الخدمه محتاجه ترتيب حقيقي,صباح الخير جميعا. ابغي احكي لكم عن تجربتي مع خدمه العملاء عندكم لان صراحه تعبت. راسلتكم اربع مرات ع الواتس وكل مره يرد واحد غير الثاني ولا احد يعرف عن الثاني شي، وكلهم يقولون بنتابع وبنرد عليك ومحد رجع لي. اخر مره انتظرت علي الخط ساعه كامله وانا اسمع اغنيه الانتظار لين طفشت وسكرت. انا انسان هادي وما احب اعصب بس الموضوع صار مضايق، وانا حاب اكمل معاكم لان واثق في منتجاتكم مثل اللابتوبات والاجهزه، بس الخدمه محتاجه ترتيب حقيقي,complaint
اخوي المنتج وصلني تالف 🥲 العلبه مضغوطه من الزاويه والجهاز نفسه فيه خدوش واضحه، دفعت فلوس على شي نظيف ووصلني كذا؟؟ ارجو حل الموضوع بسرعه,اخوي المنتج وصلني تالف 🥲 العلبه مضغوطه من الزاويه والجهاز نفسه فيه خدوش واضحه، دفعت فلوس علي شي نظيف ووصلني كذا؟؟ ارجو حل الموضوع بسرعه,complaint
