text,category,product_name,order_id
السلام عليكم ورحمة الله وبركاته. انا عميل قديم عندكم واشتريت منكم شاحن سريع قبل اسبوع. وصلني اليوم والله انه مكسور والكيبل مقطوع. هذي مو اول مره تصير معي. ارجو منكم تنتبهون للمنتجات قبل ترسلونها. والله المستعان.,complaint,شاحن سريع,1409
يا اخوان انا رجل كبير بالسن وما تعودت على هذي المعامله. اتصلت عليكم اكثر من مره ولا احد رد علي. واخر مره واحد يرد ويقول لي انتظر وبعدها قطع الخط. هذي خدمه سيئه جدا وانا ما ارضاها على نفسي. حسبي الله ونعم الوكيل.,complaint,شاحن سريع,1409
السلام عليكم. طلبت منكم شاحن سريع بتاريخ ١٠ الشهر. واليوم ٢٠ وما وصلني شي. كل ما اسال يقولون لي بنشوف ونرد عليك. وانا انتظر واتصل ولا حياه لمن تنادي. والله هذا تأخير غير مبرر. ارجو انكم تحلون الموضوع بسرعه لاني محتاج الشاحن ضروري.,complaint,شاحن سريع,1409
اخواني انا شريت من عندكم شاحن سريع قبل فتره. وبعد اسبوع خرب وما عاد يشحن. رحت لكهربائي وقال لي هذا اصلي مو تقليد. وانا دفعت فيه مبلغ وقدره. للاسف الشديد هذا غش. اتمنى منكم تراجعون بضاعتكم.,complaint,شاحن سريع,1409
السلام عليكم. انا من زمان اتعامل معكم وكنت اثق فيكم. لكن اخر مره طلبت شاحن سريع وما وصلني الا بعد عشرين يوم. وحتى يوم وصل كان فيه كسر في الراس. كلمت خدمة العملاء ولا احد عبرني. والله اني زعلان. اذا هذي اخر خدماتكم الله يعينكم على انفسكم.,complaint,شاحن سريع,1409
السلام عليكم يا اخوان، انا استلمت اللابتوب ديل امس وللاسف وصل مكسور من الشاشه. هذا والله عيب عليكم. انا دفعت فلوسي وانا كبرت بالسن وما عاد لي صبر على هالمشاكل. ارجو انكم تشوفون حل.,complaint,لابتوب ديل,5012
يا جماعه الخير، انا تعاملت مع خدمة العملاء حقكم ولا لقيت الا صد وعدم احترام. الواحد منا كبير بالسن ويبي كلمه طيبه. للاسف خدمتكم سيئه جدا وما تليق بسمعتكم. اتمنى تنظرون بالامر.,complaint,لابتوب ديل,5012
قبل اسبوعين طلبت لابتوب ديل ودفعت المبلغ كامل. والى الان ما وصلني شئ. كل ما اسال يقولون انتظر. انا ما عندي وقت للانتظار. هذا تاخير غير مبرر وتضييع وقت الناس.,complaint,لابتوب ديل,5012
اللابتوب ديل اللي شريته من عندكم طلع خربان. البطاريه ما تشحن والشاشه فيها خطوط. انا رجل كبير وما افهم بالتقنيات. اتصلت عليكم وما رديتوا. هذا مو معقول.,complaint,لابتوب ديل,5012
انا عميل قديم عندكم من سنين، وهالمره طلبت لابتوب ديل ووصل متاخر اكثر من عشرين يوم. وفوق هذا كلمت خدمة العملاء وما حد عبرني. صراحه تعاملهم مو زين. انا ما ابي الا حقي.,complaint,لابتوب ديل,5012
السلام عليكم ورحمه الله وبركاته اخوي، كيف حالك عساك طيب. حبيت ابلغك عن مشكله صارت لي مع طلبي اللي هو ساعه ذكيه. الساعه وصلتني اليوم بس للاسف الشديد الكرتون كان مفتوح ومهترئ، والساعه نفسها فيها خدوش واضحه على الشاشه، وجربت اشغلها ما اشتغلت ابدا. انا مره متضايق لاني كنت متحمس لها ودفعت مبلغ مو بسيط. ارجو منكم النظر في الموضوع وتعويضي، وانا متاكد انكم تقدروا الوضع. شكرا لكم.,complaint,ساعة ذكية,2679
مرحبا اخوي، عساك بخير. انا عميل عندكم من فتره ودايما اتعامل معكم بثقه. بس للاسف اليوم صارت لي تجربه سيئه مع خدمة العملاء. اتصلت عشان استفسر عن مشكله بسيطه، لكن الموظف كان صوته عالي ويتكلم بطريقه مو محترمه، وحولني لاكثر من قسم وكل واحد يقولي مو اختصاصي. انا ما ابغى ازعجكم بس حبيت اوضح اللي صار لعل الموضوع يتصلح. شكرا لتفهمكم.,complaint,ساعة ذكية,2679
